loan_amnt,term,int_rate,installment,grade,sub_grade,emp_length,home_ownership,annual_inc,purpose,loan_status
10000,36,22.35,383.72,E,E2,< 1 year,OWN,21840.0,debt_consolidation,Charged Off
6000,36,18.85,219.49,D,D3,10+ years,OWN,65000.0,home_improvement,Fully Paid
7000,36,10.16,226.4,B,B1,4 years,MORTGAGE,70000.0,debt_consolidation,Fully Paid
15000,36,8.9,476.3,A,A5,8 years,RENT,50000.0,debt_consolidation,Charged Off
35000,60,6.0,712.19,C,C1,10+ years,OWN,145000.0,debt_consolidation,Current
16000,36,10.72,521.71,B,B2,8 years,RENT,40000.0,debt_consolidation,Current
28000,60,24.85,819.38,E,E3,< 1 year,MORTGAGE,78000.0,home_improvement,Fully Paid
40000,60,29.99,1293.9,F,F3,10+ years,MORTGAGE,438000.0,debt_consolidation,Fully Paid
8000,36,15.99,281.22,C,C5,10+ years,MORTGAGE,78600.0,debt_consolidation,Charged Off
10000,60,20.0,264.94,D,D4,3 years,RENT,31200.0,debt_consolidation,Current
8000,36,11.49,263.78,B,B5,10+ years,MORTGAGE,100000.0,debt_consolidation,Current
10000,36,7.21,309.74,A,A3,2 years,RENT,64000.0,debt_consolidation,Current
12000,60,15.61,289.34,D,D1,10+ years,RENT,69000.0,debt_consolidation,Fully Paid
3950,36,16.02,138.91,C,C5,6 years,MORTGAGE,70000.0,other,Current
5000,36,6.24,152.66,A,A2,2 years,MORTGAGE,33280.0,credit_card,Fully Paid
9000,36,5.31,271.0,A,A1,10+ years,MORTGAGE,38000.0,debt_consolidation,Current
18000,60,13.67,415.76,C,C4,4 years,RENT,46000.0,debt_consolidation,Fully Paid
19800,36,11.49,652.84,B,B5,4 years,MORTGAGE,80000.0,credit_card,Fully Paid
40000,36,10.91,1307.85,B,B4,2 years,OWN,150000.0,credit_card,Fully Paid
5600,36,6.67,172.07,A,A2,,MORTGAGE,44000.0,home_improvement,Current
40000,60,12.62,902.37,C,C1,< 1 year,MORTGAGE,125000.0,credit_card,Charged Off
6000,36,15.02,208.06,C,C3,1 year,OWN,40000.0,credit_card,Current
16000,36,8.67,506.35,B,B1,4 years,MORTGAGE,60012.0,other,Fully Paid
12150,36,13.49,412.26,C,C2,5 years,MORTGAGE,125000.0,home_improvement,Current
12000,36,15.61,419.58,D,D1,2 years,MORTGAGE,60000.0,home_improvement,Fully Paid
16750,60,14.33,392.62,C,C1,4 years,MORTGAGE,48464.0,credit_card,Fully Paid
14400,36,13.49,488.6,C,C2,10+ years,ANY,97000.0,debt_consolidation,Current
6025,36,13.99,205.9,C,C4,< 1 year,MORTGAGE,90000.0,debt_consolidation,Fully Paid
11200,36,11.44,369.02,B,B4,9 years,RENT,80000.0,debt_consolidation,Charged Off
10000,60,23.88,286.99,E,E2,5 years,RENT,45000.0,debt_consolidation,Current
15000,36,8.24,471.71,B,B1,10+ years,MORTGAGE,75000.0,debt_consolidation,Fully Paid
14000,60,13.33,320.92,C,C3,10+ years,MORTGAGE,41000.0,debt_consolidation,Fully Paid
7200,36,11.14,236.2,B,B2,10+ years,MORTGAGE,142000.0,debt_consolidation,Fully Paid
8000,36,16.91,284.87,C,C5,7 years,RENT,45343.9,debt_consolidation,Current
8400,36,13.11,283.48,B,B4,6 years,RENT,51000.0,debt_consolidation,Fully Paid
27500,36,10.42,892.79,B,B3,8 years,MORTGAGE,142000.0,debt_consolidation,Current
11000,36,6.83,338.8,A,A3,2 years,RENT,30200.0,credit_card,Current
35000,60,21.18,950.42,E,E3,5 years,MORTGAGE,86000.0,debt_consolidation,Current
6000,36,8.46,189.3,A,A5,2 years,RENT,45000.0,credit_card,Current
10000,60,12.69,225.95,C,C2,3 years,RENT,65000.0,debt_consolidation,Fully Paid
14000,36,6.03,426.1,A,A1,,MORTGAGE,50000.0,home_improvement,Fully Paid
4000,36,15.99,140.61,C,C5,8 years,RENT,65000.0,debt_consolidation,Fully Paid
20000,60,20.48,535.24,G,G2,10+ years,MORTGAGE,63820.0,debt_consolidation,Charged Off
7000,36,7.21,216.82,A,A3,10+ years,MORTGAGE,110000.0,home_improvement,Current
20000,36,14.47,688.13,C,C2,10+ years,RENT,55000.0,credit_card,Current
10750,36,15.8,376.88,C,C3,10+ years,OWN,47000.0,debt_consolidation,Fully Paid
9000,36,13.99,307.56,C,C3,2 years,OWN,65000.0,debt_consolidation,In Grace Period
17000,36,6.07,517.72,A,A2,10+ years,MORTGAGE,99000.0,debt_consolidation,Current
20000,60,18.06,508.53,D,D2,1 year,RENT,80000.0,credit_card,Current
5000,36,14.65,172.48,C,C5,10+ years,RENT,135000.0,vacation,Fully Paid
35000,36,21.49,1327.45,D,D5,8 years,MORTGAGE,94000.0,debt_consolidation,Fully Paid
20000,36,6.89,616.54,A,A3,,OWN,45000.0,credit_card,Fully Paid
27425,60,12.62,618.69,C,C1,10+ years,RENT,100000.0,debt_consolidation,Current
4000,36,14.09,136.89,B,B5,3 years,RENT,20000.0,debt_consolidation,Fully Paid
10000,36,11.49,329.72,B,B5,8 years,OWN,90000.0,other,Current
40000,60,12.62,902.37,C,C1,3 years,MORTGAGE,117000.0,other,Late (31-120 days)
12000,36,9.93,386.82,B,B2,5 years,RENT,65000.0,credit_card,Current
7500,36,13.99,256.3,C,C4,3 years,RENT,24000.0,debt_consolidation,Fully Paid
10000,36,15.02,346.76,C,C3,8 years,RENT,84996.0,major_purchase,Current
10000,36,10.99,327.34,B,B3,7 years,MORTGAGE,160000.0,credit_card,Fully Paid
12000,36,12.74,402.83,C,C1,10+ years,RENT,70000.0,credit_card,Fully Paid
10000,60,18.99,259.36,E,E3,2 years,RENT,40000.0,debt_consolidation,Fully Paid
36000,60,12.73,814.15,B,B5,10+ years,MORTGAGE,90000.0,home_improvement,Current
12000,36,11.49,395.66,B,B5,3 years,RENT,80000.0,debt_consolidation,Fully Paid
21825,60,14.08,508.74,C,C3,1 year,RENT,91000.0,credit_card,Current
15000,36,10.99,491.01,B,B4,4 years,RENT,52700.0,credit_card,Current
10000,36,11.49,329.72,B,B5,10+ years,RENT,64000.0,credit_card,Current
18350,60,18.84,474.4,E,E2,5 years,RENT,40000.0,debt_consolidation,Fully Paid
10000,36,11.99,332.1,B,B3,2 years,RENT,60000.0,credit_card,Fully Paid
16000,60,27.49,493.27,F,F4,,OWN,70400.0,debt_consolidation,Fully Paid
10000,60,19.24,260.73,E,E2,10+ years,OWN,40000.0,debt_consolidation,Fully Paid
21000,60,13.99,488.53,C,C4,10+ years,RENT,48418.0,debt_consolidation,Current
20000,36,13.53,679.0,B,B5,7 years,MORTGAGE,170000.0,debt_consolidation,Fully Paid
20000,36,16.02,703.34,C,C5,10+ years,MORTGAGE,85000.0,debt_consolidation,Fully Paid
35000,36,15.05,1214.15,C,C4,2 years,OWN,46800.0,major_purchase,Fully Paid
19000,36,11.31,624.83,B,B3,1 year,RENT,42000.0,debt_consolidation,Current
28000,36,15.99,984.26,D,D2,10+ years,MORTGAGE,90000.0,debt_consolidation,Fully Paid
5500,36,7.02,169.88,A,A2,10+ years,MORTGAGE,80000.0,debt_consolidation,Current
2850,36,6.71,87.63,A,A3,10+ years,MORTGAGE,130000.0,debt_consolidation,Fully Paid
30000,36,19.42,1106.07,D,D3,10+ years,MORTGAGE,100000.0,debt_consolidation,Current
32500,60,16.24,794.49,C,C5,9 years,MORTGAGE,98750.0,home_improvement,Fully Paid
19400,36,9.71,623.35,B,B1,5 years,RENT,55000.0,debt_consolidation,Fully Paid
34150,60,12.62,770.4,C,C1,10+ years,MORTGAGE,25000.0,debt_consolidation,Current
15000,36,11.44,494.22,B,B4,4 years,MORTGAGE,105000.0,credit_card,Fully Paid
27325,60,18.49,701.18,E,E2,4 years,MORTGAGE,187000.0,credit_card,Charged Off
7200,36,10.99,235.69,B,B4,10+ years,MORTGAGE,105000.0,debt_consolidation,Fully Paid
35000,36,13.11,1181.15,B,B4,< 1 year,RENT,70000.0,credit_card,Fully Paid
6600,36,15.05,228.96,C,C4,5 years,RENT,43000.0,debt_consolidation,Charged Off
16000,36,7.89,500.58,A,A5,5 years,MORTGAGE,64000.0,credit_card,Fully Paid
2000,36,7.96,62.64,A,A5,9 years,RENT,20000.0,other,Current
29000,60,15.02,690.22,C,C3,1 year,RENT,90000.0,debt_consolidation,Current
35000,36,13.67,1190.62,C,C4,2 years,RENT,205639.0,debt_consolidation,Fully Paid
9000,36,6.03,273.92,A,A1,7 years,MORTGAGE,60000.0,debt_consolidation,Fully Paid
16800,36,13.99,574.11,C,C3,7 years,MORTGAGE,55000.0,debt_consolidation,Current
18150,60,24.5,527.42,F,F3,3 years,RENT,50568.0,debt_consolidation,Fully Paid
20500,36,14.49,705.54,C,C4,3 years,RENT,60000.0,small_business,Charged Off
21000,60,13.58,484.08,C,C2,10+ years,MORTGAGE,125000.0,home_improvement,Fully Paid
14000,60,13.56,322.58,C,C1,10+ years,MORTGAGE,120000.0,debt_consolidation,Current
16250,36,6.67,499.31,A,A2,10+ years,MORTGAGE,92000.0,major_purchase,Current
35000,36,17.99,1265.16,D,D2,< 1 year,MORTGAGE,145000.0,major_purchase,Charged Off
5000,36,8.18,157.1,B,B1,1 year,RENT,41000.0,debt_consolidation,Fully Paid
9000,36,11.99,298.89,B,B5,,MORTGAGE,63600.0,debt_consolidation,Current
10000,60,11.99,222.4,B,B5,2 years,RENT,55000.0,credit_card,Current
2000,36,13.49,67.87,C,C2,1 year,RENT,50000.0,other,Current
7000,36,24.85,277.77,E,E3,4 years,RENT,28800.0,debt_consolidation,Current
35000,60,13.56,806.43,C,C1,10+ years,RENT,70000.0,credit_card,Current
6000,36,11.44,197.69,B,B4,10+ years,RENT,48000.0,debt_consolidation,Fully Paid
6075,36,13.18,205.22,C,C3,10+ years,RENT,39000.0,other,Fully Paid
4000,36,9.43,128.01,B,B1,7 years,MORTGAGE,90000.0,house,Current
3200,36,6.99,98.8,A,A2,10+ years,MORTGAGE,135000.0,home_improvement,Fully Paid
18000,36,12.74,604.24,C,C1,10+ years,RENT,110000.0,debt_consolidation,Current
25000,36,10.49,812.45,B,B2,10+ years,RENT,125000.0,credit_card,Fully Paid
25000,60,13.65,577.18,C,C1,8 years,MORTGAGE,50000.0,home_improvement,Fully Paid
14475,60,13.56,333.52,C,C1,8 years,MORTGAGE,100205.0,credit_card,Current
1500,36,22.35,57.56,D,D5,< 1 year,ANY,45000.0,debt_consolidation,Current
20000,60,18.84,517.06,E,E2,10+ years,MORTGAGE,100000.0,debt_consolidation,Charged Off
12000,36,6.24,366.37,A,A2,< 1 year,RENT,95000.0,credit_card,Fully Paid
21000,60,18.49,538.88,E,E2,1 year,MORTGAGE,100000.0,credit_card,Current
10000,36,9.44,320.05,B,B1,10+ years,MORTGAGE,80000.0,debt_consolidation,Fully Paid
25000,60,16.91,620.11,C,C5,< 1 year,RENT,90000.0,debt_consolidation,Current
7800,36,16.99,278.06,D,D3,10+ years,MORTGAGE,134400.0,debt_consolidation,Fully Paid
30000,60,10.75,648.54,B,B4,10+ years,MORTGAGE,90000.0,credit_card,Current
2000,36,12.42,66.84,B,B4,3 years,MORTGAGE,25056.0,other,Fully Paid
13000,60,17.97,329.91,D,D1,2 years,RENT,65000.0,debt_consolidation,Current
13000,36,6.11,396.14,A,A1,10+ years,MORTGAGE,40000.0,credit_card,Current
14700,60,25.49,435.7,E,E4,5 years,RENT,46000.0,major_purchase,Current
3500,36,13.44,118.68,C,C3,,RENT,27888.0,debt_consolidation,Charged Off
5000,36,8.24,157.24,B,B1,10+ years,OWN,46000.0,credit_card,Fully Paid
26400,36,7.97,826.92,A,A5,2 years,OWN,80000.0,debt_consolidation,Current
5000,36,5.32,150.58,A,A1,10+ years,MORTGAGE,40000.0,home_improvement,Fully Paid
11000,60,16.29,269.2,D,D2,< 1 year,RENT,31200.0,debt_consolidation,Late (31-120 days)
24000,36,8.9,762.08,A,A5,7 years,RENT,70000.0,debt_consolidation,Fully Paid
5000,36,13.56,169.83,C,C1,,RENT,30000.0,home_improvement,Current
19000,60,7.35,379.37,A,A4,10+ years,MORTGAGE,104000.0,debt_consolidation,Current
35000,36,14.08,1197.58,C,C3,4 years,MORTGAGE,300000.0,debt_consolidation,Fully Paid
35000,60,16.14,853.74,C,C4,3 years,MORTGAGE,110000.0,debt_consolidation,Current
30000,60,11.47,659.33,B,B5,10+ years,MORTGAGE,105000.0,debt_consolidation,Current
12000,36,6.46,367.57,A,A1,6 years,MORTGAGE,48000.0,debt_consolidation,Current
31000,60,14.33,726.64,C,C1,10+ years,MORTGAGE,111000.0,debt_consolidation,Fully Paid
15000,60,17.57,377.41,D,D4,2 years,MORTGAGE,38000.0,debt_consolidation,Fully Paid
20000,36,13.58,679.48,C,C2,10+ years,MORTGAGE,82000.0,debt_consolidation,Current
12000,36,15.41,418.4,D,D1,3 years,RENT,68000.0,debt_consolidation,Charged Off
2000,36,9.44,64.01,B,B1,10+ years,MORTGAGE,68000.0,other,Current
6400,36,14.08,218.99,C,C3,10+ years,MORTGAGE,71000.0,home_improvement,Fully Paid
20000,36,13.18,675.62,C,C3,10+ years,MORTGAGE,83000.0,debt_consolidation,Fully Paid
12000,36,9.44,384.06,B,B1,< 1 year,RENT,62000.0,credit_card,Current
12000,60,12.62,270.71,C,C1,7 years,MORTGAGE,101000.0,home_improvement,Fully Paid
10000,36,10.75,326.21,B,B4,10+ years,MORTGAGE,123000.0,credit_card,Current
10000,36,5.32,301.15,A,A1,9 years,MORTGAGE,75000.0,credit_card,Fully Paid
17000,36,7.49,528.73,A,A4,9 years,MORTGAGE,147000.0,debt_consolidation,Fully Paid
5000,36,12.49,167.25,B,B4,7 years,MORTGAGE,30000.0,debt_consolidation,Fully Paid
10400,36,13.49,352.88,C,C2,3 years,RENT,65000.0,credit_card,Fully Paid
35000,36,11.06,1146.85,B,B3,7 years,RENT,95000.0,house,Current
35000,36,5.32,1054.02,A,A1,10+ years,MORTGAGE,300000.0,home_improvement,Charged Off
28000,36,7.69,873.42,A,A4,10+ years,RENT,190000.0,debt_consolidation,Fully Paid
20000,60,16.02,486.58,C,C5,5 years,MORTGAGE,60000.0,credit_card,Current
15125,36,16.01,531.83,C,C5,10+ years,MORTGAGE,109341.0,debt_consolidation,Current
10500,60,14.46,246.83,C,C4,5 years,RENT,45000.0,debt_consolidation,Fully Paid
22800,36,13.11,769.44,B,B4,1 year,RENT,103000.0,debt_consolidation,Charged Off
3000,36,6.99,92.62,A,A2,< 1 year,OWN,60000.0,medical,Current
9575,36,11.22,314.48,B,B5,3 years,OWN,70000.0,debt_consolidation,Charged Off
4800,36,6.24,146.55,A,A2,1 year,MORTGAGE,102000.0,debt_consolidation,Fully Paid
14500,60,11.55,319.26,B,B4,5 years,RENT,63000.0,credit_card,Current
20000,36,5.32,602.3,A,A1,< 1 year,MORTGAGE,55000.0,credit_card,Current
10000,36,12.12,332.72,B,B3,2 years,RENT,40000.0,debt_consolidation,Fully Paid
15000,60,15.61,361.67,D,D1,10+ years,RENT,54000.0,debt_consolidation,Fully Paid
20000,36,16.02,703.34,C,C5,10+ years,RENT,60000.0,debt_consolidation,Fully Paid
26000,60,16.2,635.04,C,C4,10+ years,MORTGAGE,60000.0,debt_consolidation,Fully Paid
18000,60,12.79,407.63,C,C1,4 years,MORTGAGE,236000.0,home_improvement,Current
1000,36,25.49,40.02,E,E4,10+ years,RENT,120000.0,other,Fully Paid
25600,60,30.17,830.93,F,F3,5 years,MORTGAGE,95000.0,debt_consolidation,Current
15000,36,7.97,469.84,A,A5,,RENT,100000.0,debt_consolidation,Charged Off
20000,36,8.18,628.39,B,B1,4 years,MORTGAGE,70000.0,debt_consolidation,Fully Paid
15000,60,13.59,345.85,C,C2,10+ years,MORTGAGE,194080.0,home_improvement,Current
16825,36,12.99,566.82,B,B4,3 years,RENT,48000.0,debt_consolidation,Fully Paid
32425,60,18.25,827.8,D,D3,10+ years,RENT,104559.0,debt_consolidation,Fully Paid
26000,36,10.33,842.99,B,B1,4 years,RENT,80000.0,debt_consolidation,Current
6150,36,12.74,206.45,C,C1,,MORTGAGE,64000.0,debt_consolidation,Fully Paid
2500,36,7.84,78.16,A,A4,10+ years,MORTGAGE,50000.0,home_improvement,Current
8000,36,13.67,272.15,C,C3,,OWN,27000.0,debt_consolidation,Charged Off
20000,36,13.44,678.13,C,C3,9 years,MORTGAGE,80000.0,home_improvement,Fully Paid
8000,36,6.99,246.99,A,A2,6 years,MORTGAGE,89600.0,medical,Current
7000,36,12.61,234.55,C,C1,5 years,RENT,34000.0,debt_consolidation,Current
20000,60,18.45,512.78,D,D2,3 years,MORTGAGE,65000.0,debt_consolidation,In Grace Period
6000,36,10.91,196.18,B,B4,3 years,RENT,52000.0,debt_consolidation,Current
6500,36,10.74,212.01,B,B2,10+ years,RENT,38000.0,debt_consolidation,Fully Paid
22075,60,18.25,563.57,E,E1,10+ years,MORTGAGE,60000.0,home_improvement,Current
12000,36,11.44,395.37,B,B4,1 year,MORTGAGE,125000.0,credit_card,Current
23700,60,15.61,571.44,D,D1,3 years,RENT,95000.0,debt_consolidation,Charged Off
12000,36,11.99,398.52,B,B3,6 years,MORTGAGE,65000.0,debt_consolidation,Fully Paid
4800,36,10.99,157.13,B,B4,4 years,MORTGAGE,19200.0,debt_consolidation,Current
13000,36,12.29,433.59,C,C1,5 years,RENT,60000.0,debt_consolidation,Fully Paid
12000,36,9.71,385.58,B,B1,2 years,MORTGAGE,60000.0,home_improvement,Fully Paid
5000,36,8.24,157.24,B,B1,4 years,MORTGAGE,45000.0,debt_consolidation,Current
12450,60,15.31,298.22,C,C2,4 years,RENT,45000.0,credit_card,Fully Paid
21000,36,14.49,722.74,C,C4,9 years,RENT,72000.0,debt_consolidation,Fully Paid
9000,36,16.91,320.48,C,C5,2 years,MORTGAGE,100000.0,debt_consolidation,Current
5000,36,8.46,157.75,A,A5,,OWN,60000.0,debt_consolidation,Current
23500,60,22.4,654.41,E,E3,,RENT,52862.0,credit_card,Charged Off
25000,60,13.49,575.12,C,C2,3 years,RENT,99200.0,debt_consolidation,Charged Off
9600,36,12.69,322.04,C,C2,10+ years,MORTGAGE,62000.0,debt_consolidation,Fully Paid
15000,36,11.99,498.15,B,B5,10+ years,RENT,80000.0,debt_consolidation,Fully Paid
36000,36,6.99,1111.42,A,A2,10+ years,MORTGAGE,220000.0,debt_consolidation,Current
3500,36,10.99,114.57,B,B3,3 years,RENT,33000.0,debt_consolidation,Charged Off
1600,36,16.02,56.27,C,C5,3 years,RENT,62213.0,debt_consolidation,Current
10000,36,14.49,344.17,C,C4,10+ years,MORTGAGE,42000.0,other,Charged Off
20000,36,11.99,664.2,C,C1,,MORTGAGE,90302.0,debt_consolidation,Fully Paid
8500,36,6.08,258.9,A,A2,10+ years,OWN,60000.0,credit_card,Fully Paid
15000,36,10.72,489.1,B,B2,5 years,OWN,90000.0,credit_card,Current
3850,36,9.93,124.11,B,B2,3 years,RENT,35000.0,credit_card,Fully Paid
25000,60,6.92,494.09,A,A4,,MORTGAGE,70000.0,debt_consolidation,Current
10000,36,9.49,320.29,B,B2,5 years,RENT,72000.0,debt_consolidation,Charged Off
9900,36,6.11,301.68,A,A1,< 1 year,OWN,40000.0,debt_consolidation,Current
4900,36,13.06,165.25,C,C1,,RENT,46500.0,major_purchase,Current
8000,36,13.06,269.79,C,C1,10+ years,MORTGAGE,56600.0,debt_consolidation,Current
7200,36,14.65,248.36,C,C5,10+ years,RENT,34000.0,debt_consolidation,Fully Paid
20000,36,6.24,610.62,A,A2,10+ years,MORTGAGE,48000.0,credit_card,Fully Paid
3000,36,13.35,101.59,C,C2,10+ years,MORTGAGE,110000.0,home_improvement,Charged Off
15000,36,7.34,465.5,A,A4,10+ years,OWN,32000.0,medical,Fully Paid
16000,36,16.02,562.68,C,C5,2 years,RENT,65000.0,credit_card,Current
7025,36,17.57,252.46,D,D4,3 years,RENT,38000.0,debt_consolidation,Fully Paid
15000,60,13.44,344.69,C,C3,3 years,OWN,53000.0,credit_card,Charged Off
10000,36,6.71,307.45,A,A3,1 year,RENT,24000.0,major_purchase,Current
6600,36,5.32,198.76,A,A1,2 years,MORTGAGE,85000.0,debt_consolidation,Fully Paid
7600,36,25.34,303.55,E,E3,1 year,RENT,75000.0,debt_consolidation,Current
23325,60,15.31,558.71,C,C2,10+ years,RENT,52275.17,debt_consolidation,Fully Paid
16000,60,17.47,401.7,D,D1,< 1 year,OWN,35000.0,house,Current
4125,36,16.55,146.15,D,D2,4 years,MORTGAGE,32000.0,debt_consolidation,Fully Paid
18000,36,8.18,565.56,B,B1,8 years,MORTGAGE,100000.0,debt_consolidation,Fully Paid
10200,60,12.62,230.11,C,C1,9 years,OWN,80000.0,other,Fully Paid
14400,60,15.99,350.11,C,C5,4 years,OWN,65000.0,major_purchase,Fully Paid
15000,36,6.97,462.96,A,A3,5 years,RENT,50000.0,credit_card,Fully Paid
28000,60,9.49,587.92,B,B2,10+ years,OWN,125000.0,credit_card,Fully Paid
2000,36,6.11,60.95,A,A1,10+ years,MORTGAGE,60000.0,credit_card,Current
10325,60,13.99,240.2,C,C4,2 years,RENT,51000.0,credit_card,Current
7200,36,8.24,226.42,B,B1,9 years,MORTGAGE,140000.0,credit_card,Fully Paid
10000,36,7.26,309.97,A,A4,5 years,RENT,77400.0,debt_consolidation,Fully Paid
16000,36,5.32,481.84,A,A1,10+ years,MORTGAGE,175000.0,debt_consolidation,Current
13000,36,8.24,408.82,B,B1,< 1 year,RENT,92000.0,debt_consolidation,Current
8000,36,13.18,270.25,C,C3,3 years,RENT,28000.0,debt_consolidation,Fully Paid
14000,36,14.72,483.4,C,C5,5 years,OWN,45500.0,debt_consolidation,Charged Off
